date,q0_kwh,active_kwh,up_kwh,down_kwh,emergency_kwh,charge_kwh,discharge_kwh,spill_kwh,storage_loss_kwh,plan_cost,up_cost,down_penalty,refund,emergency_cost,total_cost,start_soc_kwh,end_soc_kwh,forecast_plan_cost,price_mae_0,mean_actual_price
2025-08-08,44687.7190908215,44900.53791026595,212.8188194444474,0.0,0.0,16601.28757757202,13365.954850124997,25890.033932818922,3145.2348522155353,25982.842032180804,475.72967296417323,0.0,0.0,0.0,26458.57170514498,7629.375033533946,7719.472908765436,25961.55746035663,0.05532986111111111,0.6379520833333333
2025-08-09,43797.13320062962,43975.11125062962,177.97805000000164,0.0,0.0,17173.5805116941,14106.750986638894,21986.352725574416,3284.7748274626206,25747.99109787846,394.6476671731284,0.0,0.0,0.0,26142.63876505159,7719.472908765436,7501.527606358023,25276.172276223522,0.044643055555555554,0.6529750000000001
2025-08-10,80287.19932482853,80569.36958335631,282.17025852777766,0.0,0.0,17105.02698290466,13291.517643777779,11451.241194229427,3187.3379920435527,61204.69018364973,553.6200910128791,0.0,0.0,0.0,61758.3102746626,7501.527606358023,8127.698953441359,59430.10355645081,0.04314444444444446,0.8486909722222222
2025-08-11,77569.07342494855,78158.36019679526,589.2867718467076,0.0,0.0,15681.746921484908,13424.105962222222,11339.46590419924,3059.7420212842935,56956.25607309866,986.8763372257595,0.0,0.0,0.0,57943.13241032442,8127.698953441359,7325.597891419753,58487.7470569965,0.04522864583333333,0.8396298611111112
2025-08-12,83177.8655315072,83389.62301059053,211.75747908333176,0.0,28.850000000000023,16314.260364643347,13157.50419141667,12501.173187363851,3093.370946621743,61519.410871382395,523.6687516493345,0.0,0.0,231.37700000000018,62274.45662303173,7325.597891419753,7388.983118024691,61959.59631038574,0.03514236111111112,0.8573708333333333
2025-08-13,75468.48751204253,75706.77590182029,238.28838977777647,0.0,1.0535833333331084,16351.411971810703,13042.612749000004,6278.050812342934,3084.320391514404,55921.22935653864,572.113683817865,0.0,0.0,9.127719208331383,56502.470759564836,7388.983118024691,7613.461949320987,56910.79659736427,0.03569322916666666,0.8531652777777778
2025-08-14,77298.1188809928,78530.85372846364,1232.7348474708476,0.0,65.96909444444452,17290.20964972565,14009.1563,9389.478489849109,3285.5938871947874,58292.87478897777,1638.1872637070442,0.0,0.0,564.6523551777784,60495.71440786259,7613.461949320987,7608.921411851853,58803.639400762215,0.040437847222222226,0.8501201388888888
2025-08-15,44423.18051462997,44653.7276479633,230.54713333333194,0.0,0.0,15139.547288031546,12381.662311638891,24736.11578823731,2889.6949856519204,26328.70706928184,492.41409472999703,0.0,0.0,0.0,26821.121164011838,7608.921411851853,7477.111402592593,26274.55856361874,0.04352187500000001,0.6512152777777778
2025-08-16,46481.87508398868,46695.274200655345,213.39911666666615,0.0,0.0,17387.084150857332,14002.770371361112,26381.68005449246,3294.5717896814126,27551.671875737735,474.5782955549988,0.0,0.0,0.0,28026.250171292733,7477.111402592593,7566.853392407405,27320.83977912313,0.04233854166666666,0.6473409722222222
2025-08-17,81147.07444997874,81586.93173028428,439.8572803055548,0.0,14.265461111111108,15914.9707351166,12915.036043111111,15435.868882723247,3026.5010783017833,59314.66916419955,893.6245249935863,0.0,0.0,115.61720226944443,60323.91089146258,7566.853392407405,7540.28700611111,59931.32823672162,0.04019392361111111,0.8399
