日期,预测负载MAE_kW,预测光伏MAE_kW,预测净负荷MAE_kWh,计划购电量_kWh,计划购电费_元,紧急购电量_kWh,紧急购电费_元,总购电费_元,弃光量_kWh,弃光率,未利用外网电量_kWh,期初SOC_kWh,期末SOC_kWh,正向备用缺口_kWh,反向备用缺口_kWh,优化目标值,计划终端SOC偏差_kWh
2025-08-04,202.0462546233086,341.6829031507364,55.095393771574415,81808.77457902068,56580.875615048804,0.0,0.0,56580.875615048804,12236.285911238516,0.16785845672735406,146.2559549739151,7380.039336278021,9187.649476064373,0.0,0.0,56580.875615048804,0.0
2025-08-05,161.71464976679823,252.94318225382415,55.99429760621095,79989.74375664681,55723.60168007779,0.0,0.0,55723.60168007779,12046.919727975956,0.16894634451643678,350.5560155400986,9187.649476064373,9166.987318713127,0.0,0.0,55723.60168007779,0.0
2025-08-06,179.6471439041599,237.3228556455673,57.31719195973811,78533.97376916304,54854.74718249992,0.0,0.0,54854.74718249992,7603.395549531941,0.1108339417307123,359.82083192884215,9166.987318713127,9062.762433603797,0.0,0.0,54854.74718249992,0.0
2025-08-07,176.8928306988055,333.9654577904481,67.51507010436733,78896.06587454796,55220.37422402169,0.0,0.0,55220.37422402169,12611.810085771038,0.1716762139550515,299.3198635139081,9062.762433603797,9181.421244096402,0.0,0.0,55220.37422402169,0.0
2025-08-08,582.7772118960565,283.80489284266764,140.10161676862106,54063.536730339976,36264.66617543459,0.0,0.0,36264.66617543459,31866.94406894739,0.42530062175857036,2572.525592210457,9181.421244096402,10800.0,0.0,0.0,36264.66697655162,0.0
2025-08-09,358.10594043648683,169.4070461249463,74.39589145772412,49087.523019570974,33089.93776835651,0.0,0.0,33089.93776835651,27154.061433559546,0.3804054023140977,1047.5161186617897,10800.0,10343.471886775473,0.0,0.0,33089.93893438568,0.0
2025-08-10,306.7311288976529,153.01292793831624,52.45609292975295,69098.96501320018,48559.80120136904,0.0,0.0,48559.80120136904,2631.7803034948693,0.03694721040874362,186.8598800579552,10343.471886775473,8507.821565279137,0.0,0.0,48559.801305864145,0.0
2025-08-11,154.13931569398406,165.52592475510883,45.50652989610871,76058.2829896536,53127.71527642359,0.0,0.0,53127.71527642359,7931.171175839569,0.11036821157405659,411.6329794117695,8507.821565279137,9006.154038619608,0.0,0.0,53127.71527642359,0.0
2025-08-12,146.86728038245954,157.00491930090752,42.92336618480718,75104.45189823935,52800.66329026599,0.0,0.0,52800.66329026599,4409.767943774453,0.06402376043256765,175.5541799562987,9006.154038619608,9233.221589977094,0.0,0.0,52800.66329026599,0.0
2025-08-13,160.5106072800016,157.71375339079907,41.76010799362371,76149.40419561353,53436.9117092995,0.0,0.0,53436.9117092995,6909.958021738012,0.09811515870091296,334.87655599548316,9233.221589977094,9434.448606902297,0.0,0.0,53436.91170929949,0.0
