日期,变量,基准,权重
2025-08-12,光伏,近7天中位数,0.27561756557525113
2025-08-12,光伏,同星期中位数,0.16923093050516066
2025-08-13,光伏,附件1先验,0.09861438382662835
2025-08-13,光伏,前1天,0.24977442656018442
2025-08-13,光伏,前7天,0.20790753256984315
2025-08-13,光伏,近7天中位数,0.27525908109574876
2025-08-13,光伏,同星期中位数,0.1684445759475953
2025-08-14,光伏,附件1先验,0.09814629601559964
2025-08-14,光伏,前1天,0.2496420919303867
2025-08-14,光伏,前7天,0.2064677804235113
2025-08-14,光伏,近7天中位数,0.2770045729790652
2025-08-14,光伏,同星期中位数,0.16873925865143716
2025-08-15,光伏,附件1先验,0.09796477932470628
2025-08-15,光伏,前1天,0.2514683481974208
2025-08-15,光伏,前7天,0.20473756522554631
2025-08-15,光伏,近7天中位数,0.27777797134064486
2025-08-15,光伏,同星期中位数,0.16805133591168187
2025-08-16,光伏,附件1先验,0.09550473885560838
2025-08-16,光伏,前1天,0.25400672101200444
2025-08-16,光伏,前7天,0.20539178331857044
2025-08-16,光伏,近7天中位数,0.2823314166877313
2025-08-16,光伏,同星期中位数,0.1627653401260854
2025-08-17,光伏,附件1先验,0.09443644183885942
2025-08-17,光伏,前1天,0.25726800129080296
2025-08-17,光伏,前7天,0.20540255370034538
2025-08-17,光伏,近7天中位数,0.28239114097431434
2025-08-17,光伏,同星期中位数,0.1605018621956779
2025-08-18,光伏,附件1先验,0.09354243417311277
2025-08-18,光伏,前1天,0.2559354250155444
2025-08-18,光伏,前7天,0.20813925458727328
2025-08-18,光伏,近7天中位数,0.28283519749819336
2025-08-18,光伏,同星期中位数,0.15954768872587619
2025-08-19,光伏,附件1先验,0.09177960999796554
2025-08-19,光伏,前1天,0.25719226186617633
2025-08-19,光伏,前7天,0.20992810650621546
2025-08-19,光伏,近7天中位数,0.2839259762634734
2025-08-19,光伏,同星期中位数,0.15717404536616936
2025-08-20,光伏,附件1先验,0.09020747079270693
2025-08-20,光伏,前1天,0.2578363946787607
2025-08-20,光伏,前7天,0.2109976621365913
2025-08-20,光伏,近7天中位数,0.28520888337079114
2025-08-20,光伏,同星期中位数,0.15574958902115002
2025-08-21,光伏,附件1先验,0.09157491961940575
2025-08-21,光伏,前1天,0.25727321669304526
2025-08-21,光伏,前7天,0.21221371237165382
2025-08-21,光伏,近7天中位数,0.28142744036991
2025-08-21,光伏,同星期中位数,0.15751071094598504
2025-08-22,光伏,附件1先验,0.09064615617360117
2025-08-22,光伏,前1天,0.25564279611698154
2025-08-22,光伏,前7天,0.21262607850503543
2025-08-22,光伏,近7天中位数,0.28334972856148516
2025-08-22,光伏,同星期中位数,0.1577352406428968
2025-08-23,光伏,附件1先验,0.08992286084062369
2025-08-23,光伏,前1天,0.2583921949215414
2025-08-23,光伏,前7天,0.2114993101310273
2025-08-23,光伏,近7天中位数,0.28210459692938966
2025-08-23,光伏,同星期中位数,0.1580810371774179
2025-08-24,光伏,附件1先验,0.08973305525924524
2025-08-24,光伏,前1天,0.257618580143274
2025-08-24,光伏,前7天,0.21099238356833044
2025-08-24,光伏,近7天中位数,0.28230602330763394
2025-08-24,光伏,同星期中位数,0.15934995772151644
2025-08-25,光伏,附件1先验,0.08904269040661383
2025-08-25,光伏,前1天,0.2560383482838713
2025-08-25,光伏,前7天,0.21190844758656935
2025-08-25,光伏,近7天中位数,0.28231532188308145
2025-08-25,光伏,同星期中位数,0.16069519183986414
2025-08-26,光伏,附件1先验,0.0897646328308858
2025-08-26,光伏,前1天,0.2550932024957683
2025-08-26,光伏,前7天,0.20983588165158307
2025-08-26,光伏,近7天中位数,0.28423417824697655
2025-08-26,光伏,同星期中位数,0.1610721047747864
2025-08-27,光伏,附件1先验,0.08898275134593166
2025-08-27,光伏,前1天,0.25335925738407056
2025-08-27,光伏,前7天,0.21119156947779058
2025-08-27,光伏,近7天中位数,0.2865815916337489
2025-08-27,光伏,同星期中位数,0.15988483015845822
2025-08-28,光伏,附件1先验,0.08859248468452578
2025-08-28,光伏,前1天,0.25630224813891894
2025-08-28,光伏,前7天,0.20915317317655996
2025-08-28,光伏,近7天中位数,0.2864425756747896
2025-08-28,光伏,同星期中位数,0.15950951832520566
2025-08-29,光伏,附件1先验,0.08937483703340875
2025-08-29,光伏,前1天,0.2575938375109721
2025-08-29,光伏,前7天,0.21025698646055216
2025-08-29,光伏,近7天中位数,0.28326811628497456
2025-08-29,光伏,同星期中位数,0.1595062227100924
2025-08-30,光伏,附件1先验,0.08850971332131867
2025-08-30,光伏,前1天,0.2577923927248034
2025-08-30,光伏,前7天,0.2058590560115348
2025-08-30,光伏,近7天中位数,0.2874272245354762
2025-08-30,光伏,同星期中位数,0.1604116134068669
2025-08-31,光伏,附件1先验,0.08841726267444787
2025-08-31,光伏,前1天,0.2525134942549581
2025-08-31,光伏,前7天,0.2056843362460798
2025-08-31,光伏,近7天中位数,0.2917660497752353
2025-08-31,光伏,同星期中位数,0.16161885704927886
2025-09-01,光伏,附件1先验,0.08717523556755374
2025-09-01,光伏,前1天,0.24487250650065018
2025-09-01,光伏,前7天,0.20454210287304392
2025-09-01,光伏,近7天中位数,0.3006857485608485
2025-09-01,光伏,同星期中位数,0.1627244064979036
2025-09-02,光伏,附件1先验,0.08614848904341717
2025-09-02,光伏,前1天,0.23938140222665635
2025-09-02,光伏,前7天,0.2085349549654567
2025-09-02,光伏,近7天中位数,0.3012145038103812
2025-09-02,光伏,同星期中位数,0.16472064995408853
2025-09-03,光伏,附件1先验,0.0860908392197599
2025-09-03,光伏,前1天,0.23395953814429127
2025-09-03,光伏,前7天,0.21389546659275943
2025-09-03,光伏,近7天中位数,0.2974880587432052
2025-09-03,光伏,同星期中位数,0.16856609729998412
2025-09-04,光伏,附件1先验,0.08593148609261288
2025-09-04,光伏,前1天,0.23209987996694728
2025-09-04,光伏,前7天,0.2168258839922859
2025-09-04,光伏,近7天中位数,0.2962798176781526
2025-09-04,光伏,同星期中位数,0.16886293227000138
2025-09-05,光伏,附件1先验,0.08669204059483476
2025-09-05,光伏,前1天,0.2321131204108068
2025-09-05,光伏,前7天,0.21873973422423554
2025-09-05,光伏,近7天中位数,0.29054078315889764
2025-09-05,光伏,同星期中位数,0.17191432161122525
2025-09-06,光伏,附件1先验,0.08693990090922887
2025-09-06,光伏,前1天,0.22719085862642835
2025-09-06,光伏,前7天,0.21818449706023585
2025-09-06,光伏,近7天中位数,0.2898230663692999
2025-09-06,光伏,同星期中位数,0.17786167703480704
2025-09-07,光伏,附件1先验,0.08834108658456326
2025-09-07,光伏,前1天,0.22871919789794792
2025-09-07,光伏,前7天,0.21546436097827235
2025-09-07,光伏,近7天中位数,0.286767270123124
2025-09-07,光伏,同星期中位数,0.1807080844160926
2025-09-08,光伏,附件1先验,0.08883321357918993
2025-09-08,光伏,前1天,0.22467737980104435
2025-09-08,光伏,前7天,0.21620985890690947
2025-09-08,光伏,近7天中位数,0.28716096031118715
2025-09-08,光伏,同星期中位数,0.18311858740166917
2025-09-09,光伏,附件1先验,0.09171038788602749
2025-09-09,光伏,前1天,0.2240948588414131
2025-09-09,光伏,前7天,0.2137056107651286
2025-09-09,光伏,近7天中位数,0.2828981624214725
2025-09-09,光伏,同星期中位数,0.18759098008595834
2025-09-10,光伏,附件1先验,0.09216181010928741
2025-09-10,光伏,前1天,0.22269586655867143
2025-09-10,光伏,前7天,0.21317229308626612
2025-09-10,光伏,近7天中位数,0.28424505584864873
2025-09-10,光伏,同星期中位数,0.18772497439712627
2025-09-11,光伏,附件1先验,0.09591472931341165
2025-09-11,光伏,前1天,0.21902943330506006
2025-09-11,光伏,前7天,0.2144565441154343
2025-09-11,光伏,近7天中位数,0.2809115105593959
2025-09-11,光伏,同星期中位数,0.18968778270669817
2025-09-12,光伏,附件1先验,0.09660402089151449
2025-09-12,光伏,前1天,0.21479411078001506
2025-09-12,光伏,前7天,0.215480804134255
2025-09-12,光伏,近7天中位数,0.28032846979847237
2025-09-12,光伏,同星期中位数,0.19279259439574303
2025-09-13,光伏,附件1先验,0.09838405388519904
2025-09-13,光伏,前1天,0.2133678405543158
2025-09-13,光伏,前7天,0.21189960251205195
2025-09-13,光伏,近7天中位数,0.27975862854737477
2025-09-13,光伏,同星期中位数,0.19658987450105855
2025-09-14,光伏,附件1先验,0.10035409423943158
2025-09-14,光伏,前1天,0.21356375158413488
2025-09-14,光伏,前7天,0.20940352220775182
2025-09-14,光伏,近7天中位数,0.2781443415397597
2025-09-14,光伏,同星期中位数,0.19853429042892207
2025-09-15,光伏,附件1先验,0.10355376642280074
2025-09-15,光伏,前1天,0.212305378284502
2025-09-15,光伏,前7天,0.2081234103087557
2025-09-15,光伏,近7天中位数,0.27650027724019427
2025-09-15,光伏,同星期中位数,0.19951716774374723
2025-09-16,光伏,附件1先验,0.10609589965229595
2025-09-16,光伏,前1天,0.2106681945490734
2025-09-16,光伏,前7天,0.20638216139977641
2025-09-16,光伏,近7天中位数,0.2759993360094226
2025-09-16,光伏,同星期中位数,0.20085440838943167
2025-09-17,光伏,附件1先验,0.10881212248636667
2025-09-17,光伏,前1天,0.21024744911313856
2025-09-17,光伏,前7天,0.2043670743616001
2025-09-17,光伏,近7天中位数,0.27507992171054657
2025-09-17,光伏,同星期中位数,0.20149343232834813
2025-09-18,光伏,附件1先验,0.10773868257716547
2025-09-18,光伏,前1天,0.21109352371086723
2025-09-18,光伏,前7天,0.20388424353785228
2025-09-18,光伏,近7天中位数,0.27908132104154315
2025-09-18,光伏,同星期中位数,0.1982022291325719
2025-09-19,光伏,附件1先验,0.10932806555486098
2025-09-19,光伏,前1天,0.21380344292707248
2025-09-19,光伏,前7天,0.2019862286427546
2025-09-19,光伏,近7天中位数,0.279106549703811
2025-09-19,光伏,同星期中位数,0.19577571317150094
2025-09-20,光伏,附件1先验,0.11302152982456784
2025-09-20,光伏,前1天,0.21450097339491597
2025-09-20,光伏,前7天,0.20288857516907946
2025-09-20,光伏,近7天中位数,0.27794492345720795
2025-09-20,光伏,同星期中位数,0.1916439981542288
2025-09-21,光伏,附件1先验,0.11570862345123024
2025-09-21,光伏,前1天,0.2167364506208141
2025-09-21,光伏,前7天,0.202403596784234
2025-09-21,光伏,近7天中位数,0.279588098621466
2025-09-21,光伏,同星期中位数,0.1855632305222558
2025-09-22,光伏,附件1先验,0.11773481038418923
2025-09-22,光伏,前1天,0.21601624772185662
2025-09-22,光伏,前7天,0.20216140482049366
2025-09-22,光伏,近7天中位数,0.2792100924724588
2025-09-22,光伏,同星期中位数,0.18487744460100167
2025-09-23,光伏,附件1先验,0.11619217431252053
2025-09-23,光伏,前1天,0.2190187445939264
2025-09-23,光伏,前7天,0.20140696743956663
2025-09-23,光伏,近7天中位数,0.28349934093792967
2025-09-23,光伏,同星期中位数,0.17988277271605685
2025-09-24,光伏,附件1先验,0.11885244166216434
2025-09-24,光伏,前1天,0.22191323024441667
2025-09-24,光伏,前7天,0.20015391717829814
2025-09-24,光伏,近7天中位数,0.2830492651913112
2025-09-24,光伏,同星期中位数,0.1760311457238096
2025-09-25,光伏,附件1先验,0.1198572998944726
2025-09-25,光伏,前1天,0.22019047779130882
2025-09-25,光伏,前7天,0.20120884568589673
2025-09-25,光伏,近7天中位数,0.2842836671876625
2025-09-25,光伏,同星期中位数,0.17445970944065933
2025-09-26,光伏,附件1先验,0.1189884109639826
2025-09-26,光伏,前1天,0.2212648878279036
2025-09-26,光伏,前7天,0.20102660748076975
2025-09-26,光伏,近7天中位数,0.28846566373195864
2025-09-26,光伏,同星期中位数,0.17025442999538531
2025-09-27,光伏,附件1先验,0.12218921210742038
