date,issue_hour,price_model,pv_model,start_soc_kwh,proxy_objective,mip_gap,mip_absolute_gap,constraint_error,max_reserve_slack_soc_kwh,terminal_penalty,reserve_penalty,historical_days
2025-03-20,0,lag7,mean7,6993.811293234125,43135.34540353106,0.0,0.0,1.1368683772161603e-12,0.0,0.6604379640522637,4.064233624937008,56
2025-03-21,0,lag7,mean7,6642.008694424605,12003.67241942438,0.0,0.0,5.9117155615240335e-12,0.0,0.48346229383835093,2.975152577466775,56
2025-03-22,0,lag7,mean7,6376.700096984127,13009.88128402046,0.0,0.0,1.8189894035458565e-12,0.0,0.4947853777701357,3.0448330939700656,56
2025-03-23,0,lag7,mean7,7064.002058068782,40862.52713971182,0.0,0.0,9.094947017729282e-13,0.0,0.6476920000596464,3.9857969234439783,56
2025-03-24,0,lag7,mean7,6409.454951600529,39771.71832405186,0.0,0.0,1.1368683772161603e-13,0.0,0.6265523070458429,3.8557065048974946,56
2025-03-25,0,lag7,mean7,6609.990171534393,39885.28878671955,0.0,0.0,9.094947017729282e-13,0.0,0.640415294406461,3.9410171963474525,56
2025-03-26,0,weekday4,mean7,6310.693530542327,40614.867326640284,0.0,0.0,2.763650262720404e-12,0.0,0.6506134619761996,4.003775150622767,56
2025-03-27,0,weekday4,mean7,6472.005606818785,40514.933690600206,0.0,7.275957614183426e-12,1.8189894035458565e-12,0.0,0.6540114309447762,4.024685728890931,56
2025-03-28,0,weekday4,mean7,6468.078033677249,12122.824851518959,5.642436334993421e-08,0.000684022674249718,1.8189894035458565e-11,0.0,0.4882740658649939,3.004763482246116,56
2025-03-29,0,weekday4,mean7,6745.094736507935,12032.904493740652,0.0,0.0,2.6147972675971687e-12,0.0,0.49170477829948406,3.0258755587660557,56
2025-03-30,0,weekday4,mean7,6473.247216501332,39173.304148389914,0.0,0.0,9.094947017729282e-13,0.0,0.650119190760634,4.000733481603901,56
2025-03-31,0,weekday4,mean7,6739.378387010582,38596.25709582594,0.0,0.0,4.547473508864641e-13,0.0,0.6495549631240946,3.997261311532889,56
2025-04-01,0,lag7,mean7,6348.5487116416,38512.06236992413,0.0,0.0,4.547473508864641e-13,0.0,0.6381680071748772,3.927187736460783,56
2025-04-02,0,lag7,mean7,6324.401567693187,37934.451831032624,0.0,0.0,1.8189894035458565e-12,0.0,0.626682545725786,3.8565079736971444,56
2025-04-03,0,weekday4,mean7,6185.922848287038,39492.961136112914,0.0,0.0,1.8189894035458565e-12,0.0,0.651243140776029,4.007650097083255,56
2025-04-04,0,weekday4,mean7,6549.776517857146,11622.266431214759,0.0,0.0,1.3642420526593924e-12,0.0,0.4841733876854332,2.979528539602666,56
2025-04-05,0,weekday4,mean7,6850.218161435189,11803.166333155415,0.0,0.0,9.777068044058979e-12,0.0,0.4864596486309292,2.993597837728795,56
2025-04-06,0,weekday4,mean7,6596.952415793649,38629.029478980774,0.0,7.275957614183426e-12,2.2737367544323206e-13,0.0,0.6431562821350365,3.957884813138686,56
2025-04-07,0,weekday4,mean7,6584.187911506305,38401.144035174184,0.0,0.0,9.094947017729282e-13,0.0,0.6443978396272795,3.9655251669371046,56
2025-04-08,0,weekday4,mean7,6503.288212117383,38910.50991166102,0.0,0.0,4.547473508864641e-13,0.0,0.6485095460885211,3.9908279759293603,56
2025-04-09,0,weekday4,mean7,6322.48646753307,38290.554395676,0.0,0.0,2.5681861378500064e-12,0.0,0.6423161291631987,3.9527146410042997,56
2025-04-10,0,weekday4,mean7,6172.266703240741,38459.473486159644,0.0,0.0,9.094947017729282e-13,0.0,0.6485714519585491,3.9912089351295332,56
2025-04-11,0,weekday4,mean7,6519.01089889869,11211.726739466078,0.0,0.0,1.3869794202037156e-11,0.0,0.47630820981480887,2.931127445014208,56
2025-04-12,0,weekday4,mean7,6605.23700070106,11630.630754265825,0.0,0.0,8.378719940083101e-11,0.0,0.48350234825303234,2.9753990661725065,56
2025-04-13,0,weekday4,mean7,6797.499691058201,36799.66590734402,0.0,7.275957614183426e-12,1.7587669960135513e-11,0.0,0.6378893728988816,3.9254730639931172,56
